Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),4,Afghanistan,381543.62236039474,2225417.995043397,0.9999999995674129,-1.4443438042257362e-08,2.5030960434024776e-10,0.7578693042550594,2.8984368650306066e-11,0.4920677755602811,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),8,Albania,1137.938305388708,-3957.7408776470693,0.036290667548176454,3.3667330385197145,0.9770463809410866,0.056256136263619985,-2.8661079138697146e-13,0.9714648031382187,125.17125679165609,29.724395503302187,31.11764016532666
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),12,Algeria,348948.57699999964,255420.07316176593,0.4642804882397554,-22.940344227444264,0.7693187859568805,0.0927663021964589,-7.961501699600075e-13,0.9524881615030931,23.38174244707757,-28.755449261569932,-24.099816470677766
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),24,Angola,35898.84644918762,34680.01653103065,0.0019614917616037637,0.11202334058223751,0.9989490372980625,0.0023732908251055387,-2.3416853853043764e-13,0.9988126496870642,-25.748003896956195,13.802472474497621,72.48848627394618
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),28,Antigua and Barbuda,12.001966362474132,-1434.9592592592817,0.5149556805617379,-31.350850055579922,0.8253123816272843,0.05823132932671196,-1.2743170090337522e-12,0.9704476650872482,183.04781314274655,-31.88211063976424,-28.67909888423406
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),32,Argentina,307785.8842520234,257815.21282033063,0.017809909481215122,-0.000363298345070888,0.9917798989108229,0.014513884167385135,8.020077092307911e-13,0.9927165334739901,16.36497424846197,42.63518524144614,-3.336759319809618
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),36,Australia,38784.826304250084,23125.045672995504,0.28627490494687274,-1.8239156704786734,0.8825205863658955,0.16867894453527454,5.783864301020966e-13,0.9117680930284425,-2.915773053391598,-5.185539533860554,33.79822632492019
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),40,Austria,10341.556235213522,11039.433823529398,1.0016668803509192,-3.7385170147259212,0.12966908215386982,0.45263725200464633,0.0,0.7398396772242989,18.10505050052716,-16.279550907683866,-7.036491418303602
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),50,Bangladesh,25457.30113487458,23737.5,0.29404165434408785,-7.847886733947343,0.7658360530434855,0.00925843638398725,0.0,0.9953600170872913,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),51,Armenia,364934.214999112,89601.59000624996,1.0582769495731317,-22.07467928810197,0.13869852516554804,0.22896559749602105,-1.6862182979047154e-12,0.878085646451406,-19.692409355156204,3.4040914316271405,78.54951121282316
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),52,Barbados,219.66445243271113,265.48087912087885,0.12990445226030475,-0.0005298408566005098,0.9413705683963676,0.0357276784511958,-1.4358318527101972e-13,0.981973686790439,23.08422209919588,-6.931276835745975,17.24057891975371
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),64,Bhutan,810.7243592487393,-2600.8560209423886,0.6479398932982764,2.4319453264852067,0.4869562591562786,0.8088347033607024,7.737979471812922e-13,0.4372245380114041,50.992556829537875,-3.3954485068815194,-3.0749607490423894
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),68,Bolivia (Plurinational State of),34573.55340908515,36858.28955090931,0.0028015798317318577,0.8519605404267611,0.9990150010654956,0.0015137119792469388,1.7684508959765735e-13,0.9992428573779015,19.67312393429106,81.99708198463485,0.9775838469336863
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),72,Botswana,6294.500002884061,27039.538461538497,0.9973111278803564,1.386180765452455e-05,0.05184899891847368,0.9157837897153974,0.0,0.2902002933915357,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),76,Brazil,626066.2433671827,632495.0109890103,0.005916055130591892,0.2712563577335876,0.9966066008372383,0.005347712020654493,-2.6913379902942483e-13,0.9973225596462488,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),84,Belize,15.99958877572665,-148523.3625999987,0.3324573974730694,-3.313424591086047,0.8330362041129336,0.04900630488988187,1.884962682769011e-12,0.975189056086107,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),90,Solomon Islands,1214.0019999999997,-45199.65714285709,0.9760313251911575,-3.672204430015219,0.2127747745035783,0.4347376299882559,-3.2726213177857845e-12,0.7518393245978547,118.64343930469926,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),100,Bulgaria,2401.9991866617274,2402.6229784558273,0.00020392802866197416,-0.0006596285573251293,0.9998980814355538,0.00020376294009147777,8.862670895171091e-14,0.9998981133395086,-6.652335737420604,48.920543169687996,-14.150230303000477
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),104,Myanmar,132590.79647277098,-2551299.9794065356,0.038378588004839634,6.395650401930165,0.9766749360030648,0.05387791120670743,-3.1321336962175935e-12,0.9726880737385913,,,
